iter	Passed	Remaining
597	25542	59883
598	25559	59782
599	25585	59698
600	25659	59728
601	25706	59696
602	25741	59635
603	25771	59564
604	25814	59522
605	25862	59491
606	25927	59500
607	25983	59487
608	26021	59434
609	26067	59399
610	26173	59501
611	26230	59490
612	26289	59483
613	26342	59464
614	26392	59436
615	26451	59430
616	26506	59413
617	26572	59421
618	26627	59406
619	26688	59403
620	26751	59405
621	26803	59381
622	26851	59349
623	26887	59291
624	26918	59221
625	26958	59171
626	27002	59130
627	27071	59143
628	27133	59141
629	27181	59108
630	27242	59104
631	27293	59078
632	27333	59028
633	27376	58983
634	27405	58911
635	27455	58882
636	27499	58841
637	27532	58775
638	27573	58727
639	27638	58731
640	27686	58699
641	27727	58650
642	27774	58616
643	27821	58581
644	27865	58538
645	27923	58526
646	27960	58471
647	28005	58431
648	28038	58367
649	28083	58326
650	28120	58271
651	28176	58254
652	28219	58210
653	28281	58206
654	28333	58181
655	28396	58178
656	28432	58119
657	28464	58053
658	28513	58021
659	28561	57988
660	28617	57971
661	28655	57916
662	28707	57892
663	28759	57864
664	28787	57791
665	28843	57772
666	28869	57694
667	28922	57671
668	28967	57632
669	28996	57560
670	29031	57500
671	29057	57424
672	29100	57379
673	29134	57318
674	29193	57306
675	29234	57258
676	29281	57221
677	29306	57143
678	29347	57096
679	29398	57067
680	29463	57066
681	29518	57045
682	29585	57048
683	29649	57044
684	29678	56973
685	29728	56942
686	29769	56896
687	29817	56860
688	29859	56815
689	29928	56820
690	29979	56792
691	30014	56731
692	30071	56715
693	30146	56731
694	30199	56706
695	30253	56682
696	30296	56636
697	30336	56587
698	30404	56589
699	30439	56529
700	30503	56524
701	30563	56511
702	30620	56493
703	30670	56461
704	30739	56465
705	30788	56431
706	30840	56402
707	30883	56357
708	30920	56301
709	30966	56263
710	31022	56242
711	31043	56157
712	31081	56103
713	31125	56059
714	31187	56050
715	31234	56013
716	31295	56000
717	31334	55947
718	31409	55960
719	31451	55913
720	31500	55878
721	31556	55857
722	31629	55865
723	31662	55803
724	31722	55788
725	31768	55747
726	31819	55717
727	31880	55702
728	31916	55645
729	31952	55588
730	31984	55524
731	32028	55480
732	32099	55485
733	32161	55471
734	32219	55453
735	32264	55411
736	32321	55389
737	32380	55371
738	32447	55367
739	32511	55357
740	32565	55331
741	32633	55326
742	32702	55326
743	32761	55306
744	32801	55255
745	32855	55228
746	32904	55193
747	32962	55172
748	33014	55141
749	33055	55091
750	33095	55041
751	33134	54988
752	33205	54989
753	33253	54952
754	33339	54976
755	33385	54935
756	33443	54914
757	33492	54878
758	33542	54843
759	33595	54813
760	33659	54801
761	33685	54727
762	33754	54724
